i,urlpath,Username,Country,State,City,img_url,review_count
78,/USA/Arizona/Phoenix/tsgenesis97,tsgenesis97,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:886e2dcd-87f5-40ae-bf2e-af6a2c814dd4/IMG_0788.jpg,1
79,/USA/Arizona/Phoenix/MonicaSweets,MonicaSweets,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:5bc559a3-eb2b-4ca2-95d4-cc164d7d19da/cfgvb%20.jpg,2
80,/USA/Arizona/Phoenix/MadisonMaloneAZ,MadisonMaloneAZ,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:c3de35d4-8b9e-4995-b176-f71b77e41e22/BA9C9B89-099A-46B8-9C69-2CBAE936B988.jpeg,1
81,/USA/Arizona/Phoenix/GabrielleEspie,GabrielleEspie,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:ea505d60-f831-479d-beee-9aa87da1634e/434041CB-DE1B-4FF5-8504-C634348767A0.jpeg,5
82,/USA/Arizona/Phoenix/Jasminexoxo39,Jasminexoxo39,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:edb2c62a-24c5-4bf4-8fbc-1054c380c412/0D626F91-A40E-4593-843F-7ECC279E2ED6.jpeg,4
83,/USA/Arizona/Phoenix/BookingMercedes,BookingMercedes,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:fb1e910a-97e9-4a6e-b7e3-48a0fc2299b4/01459547-4D0B-4019-8464-0CBB8DB262CC.png,0
84,/USA/Arizona/Phoenix/KimKing,KimKing,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:f0f47387-cb65-4e15-8662-7172fe48b7b0/A6CBFA0E-4AE0-4EDA-8910-9669E2F08109.jpeg,6
85,/USA/Arizona/Phoenix/Ashleymoss,Ashleymoss,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:8b0df3e6-b2c5-4cbb-aedd-a744b73390c9/B1897C15-B205-4327-9BCD-79F7810CBBB8.jpeg,24
86,/USA/Arizona/Phoenix/dreamthedoll,dreamthedoll,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:ab457bcc-5493-4b42-bca9-233033dc98b5/5FBAEFCA-2781-4F1C-9256-3E5A889942FB.jpeg,18
87,/USA/Arizona/Phoenix/Nikkibarbie,Nikkibarbie,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:3d6d23e6-73b0-48be-806a-f8831fcc88b4/18BEAE96-AFE6-4DDB-A849-A7DD24BAEBE6.png,0
88,/USA/Arizona/Phoenix/DanielleSloan,DanielleSloan,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2c44974c-8cd8-4729-940f-215cc750378f/E88EC2CC-1E96-4617-B8FF-3A379D518130.jpeg,10
89,/USA/Arizona/Phoenix/sagegreene,sagegreene,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:992e79bd-b158-4c62-b445-a071c63b80d4/00EEA95A-2ED3-455C-88BD-289792FDE5AF.JPEG,11
90,/USA/Arizona/Phoenix/SavannahMichaels,SavannahMichaels,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0decfdd2-cd44-4e88-ac09-16c1ff16904c/for%20web%20ads%20imageedit_4_5415388586.jpg,0
91,/USA/Arizona/Phoenix/Lilbabyxxo,Lilbabyxxo,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:a312fdfe-ef78-4765-9bf3-c71d6dc353ab/5A977497-9B3D-4F23-8944-933243BF529F.jpeg,7
92,/USA/Arizona/Phoenix/Ruby808,Ruby808,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:f2ee0ff0-ce85-40d3-8faf-94b64b838218/C9C9AD24-C38D-40D1-9146-0820E97177E2.jpeg,1
93,/USA/Arizona/Phoenix/Kyliepeyton,Kyliepeyton,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:7a888327-d46a-4da9-ad4c-83d84bdbdd48/1st%20TWT.jpg,23
94,/USA/Arizona/Phoenix/Jaydenicole,Jaydenicole,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:3a0591b5-72e6-4021-abcb-1d5aad9482ee/9F9A8A67-02F7-43A1-AED7-33A3269F55C8.jpeg,0
